Title,Category,Organization,Deadline,Location,Prize,URL,Status,Quality Score,Collected Date
Software Engineer - Consumer,job,Astrohaus,,Remote,Job Salary,https://www.indeed.com/rc/clk?jk=f57e62c7876be2aa&bb=T3giwcod0aksOWMZekw0UXbaChbd8ugkzzOcC8iMRAv1_3FRDEj8y482lB2i1tFPXyBL2BCA9GdN2hufIXTIC3CYkSb8aQA7CkT8Xro-yQde8lEDL5qdwo7mFbMjsMLwTVVYsL37LI7RP8oqqpSOlu4EF6HjZ-PE&xkcb=SoBE67M3pI6FJdyVwB0LbzkdCdPP&fccid=19aac466985d608e&vjs=3,verified,100,2025-12-12 07:58:19
Software Engineer,job,Primordial Labs,,Remote,Job Salary,https://www.indeed.com/rc/clk?jk=89e5ead131f79af7&bb=T3giwcod0aksOWMZekw0UfSwkElPjxqNwycXjqLQmYnhTpOTpl3sRI7JCqqf3Bn5xYEDUHbeSZpbAQX_Jc5A1cOtpqf_ak1_GNT0_pZS0g-JvEWx_mu95bt1f_B-AvKUBFuZZgQkB5asjjM7C5Rz184v4Rvixj9v&xkcb=SoDw67M3pI6FJdyVwB0KbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3,verified,100,2025-12-12 07:58:19
Jira Developer,job,RxSense,,Remote,Job Salary,https://www.indeed.com/rc/clk?jk=9a64e16a591c72b3&bb=T3giwcod0aksOWMZekw0UWqrBnDIlD2pz-RoawmwfWOGhiluQHIaVHJ_HsglmRByic2-2K5sjLWK9An0t9cc0E3NJ_izLn0PM93rjxK-sStvCPKBI42Xhw_CKtQiL8nzVFteIaWEVulrOZoiK4kULS_0kJS_Zb2l&xkcb=SoBt67M3pI6FJdyVwB0JbzkdCdPP&fccid=560d063e2422b112&vjs=3,verified,100,2025-12-12 07:58:19
Software Engineer - Frontend (Remote),job,Flagler Health,,Remote,Job Salary,https://www.indeed.com/rc/clk?jk=ea26a71a67d86f84&bb=T3giwcod0aksOWMZekw0UT0MEfkjLYEBZu7NofetFYih6Ols_wmP7M3a7f5V6iPyB7_VHX4tab6L2egWEc76Gq5s7Q4ZmJqXQPYqUe8fHomSY_hYz6iZJse4k7YeWnZ0XDOcxovS9QASOdZb5M33GekPzz2Ak04l&xkcb=SoDZ67M3pI6FJdyVwB0IbzkdCdPP&fccid=89123940b0fb929d&vjs=3,verified,100,2025-12-12 07:58:19
DevRel Engineer - Fully Remote - American time zone - 96-120k USD,job,Inner Circle Agency Inc.,,Remote,Job Salary,https://www.indeed.com/rc/clk?jk=f0c8788935495c64&bb=T3giwcod0aksOWMZekw0UcR5874vqka6rtiWylNTswMIhLmLPCmWUKwqXBvNh535EayOZ-rAwu2hNRtfi6qx_VfDCqtDOQbjT3KBcG5pisSm1CVJF__kp-I5yj5QDYXCKkfpmSmJ0C5QNsrJAVNrtB9DISbQu_ho&xkcb=SoDj67M3pI6FJdyVwB0ObzkdCdPP&fccid=f0d1835725b38551&vjs=3,verified,100,2025-12-12 07:58:19
Senior/Staff Software Engineer,job,Maven Learning,,Remote,Job Salary,https://www.indeed.com/rc/clk?jk=9a9451c98f166f06&bb=T3giwcod0aksOWMZekw0UXMe9RSZlQtlGJ8fvgZsQNrLy6pYdNpoU8Uq772ONbMmvZn7PmgG7KpDNStC4xIdJNWxh5wovXVadhVjHFceTHKNAX8jbsXnr2Wl4mw68nc7qYV8w0lv5Wb-pcohPX9_la-l8RzFIej4&xkcb=SoB-67M3pI6FJdyVwB0NbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3,verified,100,2025-12-12 07:58:19
Introduction to Front-End Development,certification,Coursera,Flexible,Online,Free Audit,https://www.coursera.org/learn/introduction-to-front-end-development,verified,80,2025-12-12 07:58:37
React Basics,certification,Coursera,Flexible,Online,Free Audit,https://www.coursera.org/learn/react-basics,verified,80,2025-12-12 07:58:37
Social Psychology,certification,Coursera,Flexible,Online,Free Audit,https://www.coursera.org/learn/social-psychology,verified,80,2025-12-12 07:58:37
Fundamentals of Graphic Design,certification,Coursera,Flexible,Online,Free Audit,https://www.coursera.org/learn/fundamentals-of-graphic-design,verified,80,2025-12-12 07:58:37
